,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,country_total,long,lat
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-38.416097,-63.616672
Australia,0.0,2.0,0.0,1.0,2.0,3.0,7.0,6.0,6.0,6.0,7.0,40.0,-25.274398,133.775136
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.516231,14.550072
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,50.503887,4.469936
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,-14.235004,-51.92528
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.535277,114.727669
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.565679,104.990963
Canada,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,14.0,56.130366,-106.346771
China,0.0,0.0,1.0,0.0,2.0,2.0,4.0,7.0,15.0,6.0,13.0,50.0,35.86166,104.195397
Czechia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,49.817492,15.472962
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,56.26392,9.501785
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.831239,-78.183406
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.820553,30.802498
Finland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,61.92411,25.748151
France,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,46.227638,2.213749
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,51.165691,10.451526
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36.1408,-5.3536
Greece,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39.074208,21.824312
Hong Kong,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,6.0,2.0,24.0,22.396428,114.109497
