,year,Africa,Asia,Europe,North America,Oceania,South America,hotel
0,2006,0.0,0.0,1.0,2.0,0.0,0.0,a
1,2007,0.0,0.0,0.0,2.0,2.0,0.0,a
2,2008,0.0,1.0,1.0,4.0,0.0,0.0,a
3,2009,0.0,4.0,2.0,7.0,1.0,0.0,a
4,2010,0.0,12.0,1.0,1.0,2.0,0.0,a
5,2011,0.0,15.0,9.0,15.0,5.0,0.0,a
6,2012,1.0,33.0,11.0,17.0,8.0,3.0,a
7,2013,0.0,27.0,13.0,8.0,7.0,2.0,a
8,2014,1.0,37.0,18.0,9.0,6.0,0.0,a
9,2015,1.0,32.0,17.0,13.0,9.0,0.0,a
10,2016,0.0,41.0,21.0,14.0,8.0,0.0,a
11,2006,0.0,0.0,0.0,0.0,0.0,0.0,b
12,2007,0.0,0.0,0.0,0.0,0.0,0.0,b
13,2008,0.0,1.0,0.0,0.0,0.0,0.0,b
14,2009,0.0,4.0,2.0,3.0,0.0,0.0,b
15,2010,0.0,6.0,5.0,4.0,3.0,0.0,b
16,2011,0.0,14.0,3.0,3.0,0.0,0.0,b
17,2012,0.0,22.0,11.0,13.0,4.0,1.0,b
18,2013,3.0,95.0,37.0,35.0,10.0,0.0,b
19,2014,3.0,95.0,82.0,42.0,28.0,1.0,b
20,2015,4.0,92.0,76.0,48.0,25.0,1.0,b
21,2016,2.0,78.0,60.0,29.0,16.0,0.0,b
